,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율,일일변동평균,샤프지수,종목명,PER,PBR,시가총액
287,131030,(주)옵투스제약,0.6266308810559289,1.0711722483267545,2.162273093893982,1088.67,9.26,0.1005540546142129,10.436812328053952,디에이치피코리아,8.88,1.22,131524.0
288,122990,(주)와이솔,0.3224581599414828,-1.8195067616408056,1.966657518801069,622.22,8.52,0.1865209964188718,15.795455238773426,와이솔,10.55,1.07,365021.0
289,122870,(주)와이지엔터테인먼트,0.100642463586208,-0.0,5.272411024730394,285.17,13.23,0.3053634839989788,27.439602731774407,와이지엔터테인먼트,0.0,2.4,819813.0
290,070960,(주)용평리조트,-1.5874498986081866,-0.0,1.8189518402347653,48.14,141.34,0.1406417622840426,11.119568944754429,용평리조트,0.0,0.58,231281.0
291,115440,(주)우리넷,0.478726791349053,-2.374192883364816,1.5027124654624746,390.76,67.0,0.1771117878159645,10.497569932018152,우리넷,30.42,1.09,78669.0
292,006980,(주)우성,0.3320684164243783,0.0643869358690292,0.3607331519472285,145.64,76.27,0.2691722536681082,19.089648585285136,우성사료,8.8,0.73,126227.0
293,017370,(주)우신시스템,0.0305021558622507,-1.0457900471116075,0.93688261135717,145.84,93.55,0.2497595659419791,17.479315590551508,우신시스템,16.71,0.93,106222.0
294,215380,(주)우정바이오,-0.1802333954852384,8.532975689722107,1.854534741896681,125.1,149.06,0.0194510371277785,-2.849275124301313,우정바이오,221.79,2.43,75097.0
295,049800,(주)우진플라임,-1.271701244813278,-0.0,0.3617639846060268,69.32,342.4,0.4121931489367402,55.04821167081455,우진플라임,0.0,1.37,72300.0
296,095720,(주)웅진씽크빅,0.3672451448375073,-0.0,0.7020982380248797,155.74,70.67,0.1598395860996868,16.380199841002934,웅진씽크빅,0.0,0.94,382325.0
297,005820,(주)원림,0.209090909090909,-0.5913042500389435,1.2821862774690131,158.21,30.96,0.2130265583777087,27.0612901358358,원림,15.45,0.57,49280.0
298,104830,(주)원익머트리얼즈,0.1604648388696705,-4.515026424897804,1.779084131805423,374.82,9.06,0.3216777507209971,36.24465594737313,원익머트리얼즈,17.0,1.55,477843.0
299,240810,(주)원익아이피에스,0.0860232341860941,3.1802567899876952,2.326359074272853,152.21,66.06,0.3370140131625606,40.78741978456922,원익IPS,57.51,4.48,2537638.0
300,131390,(주)원익피앤이,0.1656417692103542,0.3973537532168574,2.5469552638041444,152.0,97.94,0.4057793504164406,41.77606060201091,피앤이솔루션,19.02,3.79,308974.0
301,101160,(주)월덱스,0.105988817883587,0.0982662285614676,3.4767191861766658,222.57,39.33,0.6386199404415557,100.2154907206417,월덱스,21.06,4.57,410298.0
302,196700,(주)웹스,-0.0632673785512101,-0.0,1.0640289034389676,99.08,75.54,0.2690052059715938,26.29328314912283,웹스,0.0,0.73,28561.0
303,123420,(주)위메이드플레이,0.5468159990880462,-1.658416137982249,2.3216800728058424,928.63,12.43,0.1846306797571733,10.756184050324244,선데이토즈,69.18,1.54,210537.0
304,024070,(주)위스컴,0.932525018151919,-2.966908623895092,0.5991651075528526,640.47,10.4,0.3133569761180681,26.141393956085228,WISCOM,52.79,0.48,56631.0
305,136540,(주)윈스,0.223183596064952,0.6987028119476413,2.257761871358982,213.63,34.61,0.1465767219360755,14.49121750989304,윈스,12.55,1.79,202488.0
306,192390,(주)윈하이텍,-0.0106487992439276,-0.0,0.5209754714438364,133.89,79.24,0.3363224896622344,34.33931977452471,윈하이텍,0.0,0.73,37939.0
307,008600,(주)윌비스,-0.0870702372010099,-0.0,0.6303307771118634,104.98,92.15,0.2437988684101502,20.573754263266,윌비스,0.0,0.99,110497.0
308,014830,(주)유니드,-0.0237522734723014,0.8342501584304743,1.060925445408488,132.89,43.08,0.2997508102507787,48.22373664145686,유니드,8.89,0.85,600953.0
309,000910,(주)유니온,-0.2137739840957175,-0.0,1.432526756721836,82.02,63.29,0.7224411849232095,47.069639310829125,유니온,0.0,1.38,137070.0
310,203450,(주)유니온커뮤니티,0.2522167655255335,-1.211304076019581,1.6090272755697677,220.73,65.23,0.4401067527624466,28.65219625800541,유니온커뮤니티,16.05,2.03,70459.0
311,011330,(주)유니켐,-0.1384890079232228,0.0766477290227226,0.9009485910936696,139.65,117.63,0.1341086178536299,12.557054736552512,유니켐,6.66,1.26,107532.0
312,241690,(주)유니테크노,-0.0578294045422695,-0.7034452115857877,1.1452252227680382,104.79,66.33,0.2284695859518092,15.927522771408889,유니테크노,27.57,2.37,155561.0
313,142210,(주)유니트론텍,0.1755989904493964,-0.9372556431822574,0.3708079638783609,152.63,119.6,0.3618266433137552,31.410996798475963,유니트론텍,24.25,1.81,88167.0
314,000700,(주)유수홀딩스,0.3924208606331149,-2.0174597819821547,12.010402353199414,281.19,14.77,0.0821802032897041,9.818649996078856,유수홀딩스,39.26,0.74,166668.0
315,000220,(주)유유제약,0.4574969906445817,-0.8741611991322827,0.71200352891762,428.61,24.65,0.3101806619832787,16.146492977900852,유유제약,23.16,1.51,72960.0
316,179900,(주)유티아이,0.091560042258481,-1.2245232672142197,6.330723006998144,265.14,33.57,0.3619017162453817,24.68613765815625,유티아이,64.67,5.26,332241.0
317,000100,(주)유한양행,0.157124061429576,-1.572470121917393,0.5372624133850183,356.84,22.25,0.1786976458290964,18.045058594389605,유한양행,102.27,2.72,4408296.0
318,214320,(주)이노션,0.2224691056910569,4.118581572904617,3.791650108895421,193.74,48.75,0.0911055115605953,9.05666675551774,이노션,16.71,1.61,1230000.0
319,215790,(주)이노인스트루먼트,0.0973067380179395,-0.0,7.091508707780564,404.94,5.16,0.0101667663800901,-4.140209328531409,이노인스트루먼트,0.0,1.52,90436.0
320,139480,(주)이마트,-0.9211692613656628,-1.2925603381601984,0.33536281095419,59.09,70.83,0.2215202829274213,27.12776776976795,이마트,22.44,0.54,4766765.0
321,115610,(주)이미지스테크놀로지,0.351365457281019,-0.0,0.9663478928756536,351.41,33.38,0.1790906459423879,3.561479335738249,이미지스,0.0,1.47,17256.0
322,007660,(주)이수페타시스,-0.0736116539349795,-0.0,0.4199908201756129,106.27,164.82,0.1290535216947809,8.150229013742772,이수페타시스,0.0,1.85,140725.0
323,005950,(주)이수화학,-0.256090287350228,-0.0,0.1886538229964237,111.19,82.17,0.3425121628406065,19.129702155069893,이수화학,0.0,0.65,301792.0
324,102710,(주)이엔에프테크놀로지,0.0392665305120976,0.4161006122110789,1.3914580986277032,146.08,36.0,0.2965399389203991,23.169976932835176,이엔에프테크놀로지,12.07,2.12,566513.0
325,074610,(주)이엔플러스,-0.0513721185510428,-0.0,6.883354623354834,86.07,54.69,0.0946861776932332,1.9779164136794176,이엔플러스,0.0,3.79,214085.0
326,123570,(주)이엠넷,0.2515156363894963,1.0363037902137668,4.421374313452865,305.02,42.55,0.2493821191309908,29.49986501769226,이엠넷,15.68,1.93,112494.0
