회사명,거래소코드,회계년도,종가
대우전자부품보통주,009320,2021/03/31,2590
대우조선해양보통주,042660,2021/03/31,28300
대웅보통주,003090,2021/03/31,32700
대웅제약보통주,069620,2021/03/31,133500
대원,007680,2021/03/31,9600
대원강업보통주,000430,2021/03/31,4475
대원미디어,048910,2021/03/31,22200
대원산업,005710,2021/03/31,7570
대원전선보통주,006340,2021/03/31,1485
대원제약보통주,003220,2021/03/31,16050
대원화성보통주,024890,2021/03/31,2670
대유,290380,2021/03/31,14500
대유에이텍,002880,2021/03/31,1085
대유에이피,290120,2021/03/31,7000
대유플러스보통주,000300,2021/03/31,798
대정화금,120240,2021/03/31,25600
대주산업,003310,2021/03/31,2145
대주전자재료,078600,2021/03/31,41450
대창단조보통주,015230,2021/03/31,8300
대창보통주,012800,2021/03/31,1820
대창솔루션,096350,2021/03/31,463
대창스틸,140520,2021/03/31,2920
대한과학,131220,2021/03/31,12650
대한광통신,010170,2021/03/31,3320
대한그린파워,060900,2021/03/31,2560
대한뉴팜,054670,2021/03/31,11300
대한방직보통주,001070,2021/03/31,40950
대한약품공업,023910,2021/03/31,36400
대한유화보통주,006650,2021/03/31,325500
대한전선보통주,001440,2021/03/31,1160
대한제강 보통주,084010,2021/03/31,16700
대한제당보통주,001790,2021/03/31,30650
대한제분보통주,001130,2021/03/31,147500
대한항공보통주,003490,2021/03/31,27200
대한해운보통주,005880,2021/03/31,3425
대한화섬보통주,003830,2021/03/31,133500
대현보통주,016090,2021/03/31,2250
대호에이엘보통주,069460,2021/03/31,2405
대호특수강,021040,2021/03/31,814
대화제약,067080,2021/03/31,11800
더 미동,161570,2021/03/31,1815
더네이쳐홀딩스,298540,2021/03/31,52400
더블유게임즈보통주,192080,2021/03/31,68500
더블유아이,073570,2021/03/31,1505
더블유에스아이,299170,2021/03/31,2795
더이앤엠,089230,2021/03/31,1090
더존비즈온보통주,012510,2021/03/31,98200
덕산네오룩스,213420,2021/03/31,45250
덕산테코피아,317330,2021/03/31,19850
덕산하이메탈,077360,2021/03/31,12000
덕성보통주,004830,2021/03/31,25500
덕신하우징,090410,2021/03/31,1450
덕양산업보통주,024900,2021/03/31,2785
덕우전자,263600,2021/03/31,8280
데브시스터즈,194480,2021/03/31,115000
데이타솔루션,263800,2021/03/31,5760
덱스터스튜디오,206560,2021/03/31,8020
덴티스,261200,2021/03/31,2110
덴티움보통주,145720,2021/03/31,64100
도이치모터스,067990,2021/03/31,7070
도화엔지니어링보통주,002150,2021/03/31,8640
동구바이오제약,006620,2021/03/31,11000
동국산업,005160,2021/03/31,3600
동국알앤에스,075970,2021/03/31,5710
동국에스엔씨,100130,2021/03/31,6780
동국제강보통주,001230,2021/03/31,13650
동국제약,086450,2021/03/31,28000
동방보통주,004140,2021/03/31,6720
동방선기,099410,2021/03/31,1800
동방아그로보통주,007590,2021/03/31,6940
동부건설보통주,005960,2021/03/31,13450
동서보통주,026960,2021/03/31,31950
동성제약보통주,002210,2021/03/31,11850
동성케미컬보통주,102260,2021/03/31,5780
동성화인텍,033500,2021/03/31,13850
동성화학보통주,005190,2021/03/31,17900
동신건설,025950,2021/03/31,42150
동아쏘시오홀딩스보통주,000640,2021/03/31,108000
동아에스티보통주,170900,2021/03/31,83700
동아엘텍,088130,2021/03/31,9170
동아지질보통주,028100,2021/03/31,18450
동아타이어공업보통주,282690,2021/03/31,11450
동아화성,041930,2021/03/31,12100
동양고속보통주,084670,2021/03/31,23850
동양보통주,001520,2021/03/31,1385
동양생명보험보통주,082640,2021/03/31,4230
동양에스텍,060380,2021/03/31,2500
동양이엔피,079960,2021/03/31,17450
동양철관보통주,008970,2021/03/31,1270
동양파일,228340,2021/03/31,7100
동양피스톤보통주,092780,2021/03/31,5620
동우팜투테이블,088910,2021/03/31,3425
동운아나텍,094170,2021/03/31,11050
동원F&B보통주,049770,2021/03/31,192500
동원개발,013120,2021/03/31,5400
동원금속보통주,018500,2021/03/31,1190
동원산업보통주,006040,2021/03/31,257000
동원수산보통주,030720,2021/03/31,8810
동원시스템즈보통주,014820,2021/03/31,48450
동일고무벨트보통주,163560,2021/03/31,9190
동일금속,109860,2021/03/31,12300
동일기연,032960,2021/03/31,13400
동일산업보통주,004890,2021/03/31,78900
동일제강보통주,002690,2021/03/31,3335
동일철강,023790,2021/03/31,5420
동진쎄미켐,005290,2021/03/31,32600
동화기업,025900,2021/03/31,49150
동화약품보통주,000020,2021/03/31,14250
두산밥캣보통주,241560,2021/03/31,42100
두산보통주,000150,2021/03/31,49950
두산에너빌리티보통주,034020,2021/03/31,13000
두산테스나,131970,2021/03/31,47250
두산퓨얼셀보통주,336260,2021/03/31,51300
두올보통주,016740,2021/03/31,5120
듀오백,073190,2021/03/31,4055
드래곤플라이,030350,2021/03/31,2225
드림시큐리티,203650,2021/03/31,4300
드림씨아이에스,223250,2021/03/31,17800
드림어스컴퍼니,060570,2021/03/31,6500
드림텍보통주,192650,2021/03/31,9460
디딤,217620,2021/03/31,2130
디모아,016670,2021/03/31,973
디바이스이엔지,187870,2021/03/31,37850
디비금융제8호기업인수목적,367340,2021/03/31,2080
디비금융제9호기업인수목적,367360,2021/03/31,2045
디스플레이테크,066670,2021/03/31,4895
디씨엠보통주,024090,2021/03/31,17600
